TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
TX000190,AC00113,215.9,2023-01-04T16:02:09,Debit,Los Angeles,D000414,147.119.62.178,M083,ATM,38,Doctor,235,1,7873.28,2024-11-04T08:10:23
TX000192,AC00099,226.37,2023-09-18T17:07:08,Credit,Louisville,D000631,206.62.122.93,M041,Branch,49,Doctor,141,1,9840.04,2024-11-04T08:09:56
TX000193,AC00265,444.89,2023-09-11T16:27:39,Credit,Las Vegas,D000173,42.61.10.112,M060,Branch,43,Doctor,101,1,10328.23,2024-11-04T08:11:50
TX000196,AC00363,3.3,2023-03-27T16:42:16,Credit,Los Angeles,D000215,116.44.12.250,M085,Branch,50,Doctor,131,1,11385.37,2024-11-04T08:10:11
TX000202,AC00010,11.18,2023-11-30T16:52:42,Debit,Atlanta,D000129,16.51.235.240,M017,Online,43,Doctor,161,1,5956.89,2024-11-04T08:10:20
TX000207,AC00181,800.55,2023-05-04T16:21:31,Debit,Oklahoma City,D000657,8.244.162.185,M062,ATM,31,Engineer,108,1,9660.22,2024-11-04T08:06:49
TX000208,AC00370,485.54,2023-02-06T17:46:59,Debit,Houston,D000589,140.212.253.222,M061,ATM,46,Engineer,143,1,6371.51,2024-11-04T08:11:46
TX000212,AC00479,432.08,2023-07-31T16:04:55,Debit,El Paso,D000073,40.192.99.27,M044,ATM,40,Doctor,145,1,11500.62,2024-11-04T08:11:46
TX000218,AC00108,134.7,2023-08-21T16:03:18,Debit,Fort Worth,D000637,155.19.119.0,M074,ATM,50,Doctor,106,1,8395.85,2024-11-04T08:11:07
TX000219,AC00070,890.24,2023-07-07T18:03:43,Credit,Las Vegas,D000223,28.149.72.129,M029,Online,33,Engineer,161,1,5140.93,2024-11-04T08:07:32
TX000221,AC00391,131.56,2023-10-19T16:42:37,Debit,Charlotte,D000203,27.215.118.94,M014,Branch,44,Doctor,42,1,5873.54,2024-11-04T08:07:12
TX000227,AC00212,163.68,2023-09-28T16:20:57,Debit,San Diego,D000440,35.67.21.23,M087,Branch,41,Doctor,292,1,10090.05,2024-11-04T08:11:01
TX000229,AC00055,52.01,2023-11-07T16:46:04,Debit,Mesa,D000652,178.34.103.183,M019,ATM,48,Doctor,85,1,1120.88,2024-11-04T08:11:27
TX000231,AC00401,523.74,2023-11-02T16:36:37,Debit,Oklahoma City,D000551,216.151.64.40,M099,ATM,43,Doctor,159,1,13498.55,2024-11-04T08:06:52
TX000232,AC00430,705.6,2023-02-20T18:41:43,Debit,Phoenix,D000103,205.45.234.42,M071,Branch,40,Doctor,124,3,14804.7,2024-11-04T08:09:04
TX000233,AC00299,217.5,2023-10-23T18:54:48,Credit,Denver,D000485,101.90.40.193,M043,Branch,46,Engineer,35,1,3057.4,2024-11-04T08:06:58
TX000235,AC00430,5.25,2023-11-13T18:26:24,Debit,San Jose,D000571,93.170.203.44,M010,ATM,39,Doctor,49,1,14143.32,2024-11-04T08:12:22
TX000237,AC00177,736.73,2023-11-27T16:05:27,Debit,Memphis,D000167,107.247.202.71,M037,Branch,48,Engineer,10,1,3313.07,2024-11-04T08:10:54
TX000240,AC00026,66.5,2023-05-04T16:44:56,Credit,Louisville,D000419,13.88.251.53,M098,Online,32,Engineer,144,1,6820.23,2024-11-04T08:08:06
TX000241,AC00076,177.08,2023-01-06T17:16:44,Debit,Las Vegas,D000450,176.96.83.253,M014,Online,35,Doctor,85,1,13475.14,2024-11-04T08:12:21
TX000242,AC00215,588.54,2023-02-06T17:57:28,Debit,Portland,D000609,211.97.88.141,M031,Branch,32,Engineer,130,1,714.45,2024-11-04T08:10:37
TX000256,AC00258,237.99,2023-05-08T16:45:11,Credit,Kansas City,D000563,168.55.35.243,M043,Branch,39,Doctor,86,1,8510.09,2024-11-04T08:11:36
TX000265,AC00366,488.15,2023-07-31T16:01,Debit,Louisville,D000257,81.102.230.41,M098,Branch,43,Engineer,168,1,7071.09,2024-11-04T08:11:13
TX000266,AC00338,12.82,2023-04-05T18:37:10,Debit,Fort Worth,D000482,152.234.65.155,M055,ATM,44,Engineer,156,1,9045.19,2024-11-04T08:08:25
TX000268,AC00424,535.91,2023-07-07T16:38:12,Debit,Las Vegas,D000583,104.80.232.55,M097,Online,43,Engineer,22,1,9642.12,2024-11-04T08:10:49
TX000272,AC00263,251.18,2023-06-01T16:51:11,Debit,San Jose,D000056,134.222.122.238,M058,ATM,42,Engineer,246,1,8303.9,2024-11-04T08:07:55
TX000274,AC00455,178.87,2023-05-23T16:03:54,Debit,Baltimore,D000663,134.247.5.188,M001,Online,35,Doctor,180,1,5241.23,2024-11-04T08:10:16
TX000276,AC00055,386.68,2023-10-31T16:48:01,Debit,New York,D000453,207.157.126.125,M019,Branch,46,Doctor,128,1,6863.06,2024-11-04T08:06:28
TX000281,AC00133,255.04,2023-11-23T16:15:59,Debit,Seattle,D000206,98.39.212.221,M084,ATM,45,Engineer,152,1,6217.86,2024-11-04T08:11:38
TX000288,AC00159,151.19,2023-05-05T16:04:36,Credit,New York,D000658,217.233.219.196,M061,Branch,37,Doctor,96,1,11903.82,2024-11-04T08:11:16
TX000297,AC00381,475.36,2023-10-02T16:03:09,Debit,Phoenix,D000540,132.127.5.187,M018,ATM,34,Engineer,105,1,2000.6,2024-11-04T08:06:59
TX000302,AC00488,744.41,2023-07-31T16:35:59,Credit,Houston,D000115,24.181.236.233,M095,Online,39,Engineer,107,1,8842.47,2024-11-04T08:11:27
TX000304,AC00489,167.44,2023-09-25T16:11:18,Debit,Mesa,D000483,166.7.230.111,M087,Branch,37,Doctor,82,1,12526.71,2024-11-04T08:10:49
TX000307,AC00233,241.11,2023-06-16T16:41:23,Debit,Columbus,D000443,195.164.171.146,M063,Branch,30,Doctor,55,1,12385.05,2024-11-04T08:10:49
TX000308,AC00389,131.93,2023-09-11T17:31:10,Credit,Fort Worth,D000245,216.32.4.105,M049,Branch,31,Engineer,13,1,4547.06,2024-11-04T08:06:50
TX000309,AC00067,20.28,2023-07-19T17:42:38,Debit,Oklahoma City,D000585,150.83.4.238,M047,Online,36,Engineer,213,1,2047.83,2024-11-04T08:10:02
TX000313,AC00219,100.66,2023-06-16T18:58:50,Debit,Dallas,D000511,86.220.59.252,M024,Branch,50,Doctor,144,1,14473.33,2024-11-04T08:11:54
TX000315,AC00371,321.15,2023-02-10T17:06:40,Debit,Los Angeles,D000151,200.164.13.160,M037,Branch,46,Doctor,179,1,7005.05,2024-11-04T08:06:33
TX000317,AC00200,12.23,2023-10-12T16:02:13,Debit,Houston,D000177,23.92.205.75,M065,ATM,42,Engineer,139,1,7844.88,2024-11-04T08:07:29
TX000323,AC00194,36.71,2023-01-30T17:11:53,Debit,Jacksonville,D000671,166.7.230.111,M095,Branch,48,Doctor,55,1,6459.38,2024-11-04T08:11:44
TX000325,AC00286,233.24,2023-04-17T16:56:06,Debit,Louisville,D000351,45.241.13.208,M070,ATM,33,Engineer,72,1,6939.23,2024-11-04T08:07:39
TX000326,AC00049,609.14,2023-11-23T16:09:39,Debit,Tucson,D000224,201.113.165.203,M086,ATM,39,Engineer,177,1,9033.87,2024-11-04T08:11:33
TX000327,AC00471,436.64,2023-12-25T17:46:24,Debit,Los Angeles,D000683,38.210.156.148,M033,Branch,31,Doctor,111,1,14365.18,2024-11-04T08:08:23
TX000333,AC00418,288.17,2023-09-08T16:48:51,Debit,Virginia Beach,D000399,143.212.47.226,M012,Online,37,Engineer,50,1,3653.11,2024-11-04T08:10:16
TX000336,AC00141,66.65,2023-10-17T16:58:59,Debit,Detroit,D000398,120.170.93.69,M100,ATM,37,Engineer,33,1,3559.96,2024-11-04T08:11
TX000344,AC00232,703.89,2023-09-22T16:42:15,Debit,San Antonio,D000473,48.19.99.211,M074,Online,46,Engineer,62,1,3583.67,2024-11-04T08:06:44
TX000345,AC00156,1271.9,2023-08-28T16:43:15,Debit,Houston,D000312,210.136.14.108,M073,ATM,47,Engineer,155,1,2120.8,2024-11-04T08:09:27
TX000347,AC00375,147.4,2023-06-09T16:10:51,Debit,San Jose,D000283,92.214.76.157,M067,Branch,42,Engineer,259,1,6797.71,2024-11-04T08:07:18
TX000351,AC00040,294.15,2023-02-02T16:19:31,Debit,Fresno,D000504,112.86.148.212,M020,Online,38,Engineer,136,1,6362.16,2024-11-04T08:07:20
TX000355,AC00349,131.43,2023-02-01T18:47:20,Debit,Charlotte,D000391,77.7.223.184,M053,Online,43,Doctor,65,1,1337.5,2024-11-04T08:12:12
TX000356,AC00374,516.72,2023-10-09T18:43:04,Debit,Mesa,D000489,197.187.216.106,M025,ATM,42,Engineer,128,1,2015.69,2024-11-04T08:11:35
TX000363,AC00063,873.65,2023-03-23T16:38:40,Credit,Oklahoma City,D000414,214.247.164.80,M050,Online,37,Doctor,59,1,12139.83,2024-11-04T08:09:57
TX000365,AC00272,110.17,2023-09-07T16:08:12,Debit,Raleigh,D000046,156.235.3.171,M054,ATM,30,Engineer,137,1,464.2,2024-11-04T08:12:11
TX000371,AC00177,218.59,2023-11-27T16:43:28,Credit,Denver,D000004,72.192.101.196,M088,Branch,40,Engineer,123,1,6699.23,2024-11-04T08:07:12
TX000373,AC00069,157.37,2023-11-15T16:54:44,Credit,Dallas,D000001,66.23.166.248,M014,Branch,42,Doctor,289,1,13964.31,2024-11-04T08:10:30
TX000376,AC00316,1392.54,2023-11-20T16:51:14,Debit,El Paso,D000113,63.67.150.226,M013,Branch,41,Doctor,297,1,13347.69,2024-11-04T08:09:15
TX000377,AC00131,208.07,2023-07-10T16:51:12,Debit,Oklahoma City,D000084,157.164.245.130,M100,Online,32,Doctor,36,1,8478.9,2024-11-04T08:11:43
TX000380,AC00488,30.23,2023-11-06T17:53:25,Debit,Austin,D000406,134.247.5.188,M049,ATM,44,Doctor,99,1,481.13,2024-11-04T08:12:06
TX000383,AC00188,13.71,2023-05-30T17:54:22,Credit,Denver,D000483,189.20.224.220,M084,Online,38,Engineer,148,1,8342.79,2024-11-04T08:11:17
TX000387,AC00322,74.42,2023-11-23T17:23:16,Debit,El Paso,D000273,76.136.92.235,M003,Online,49,Engineer,68,1,6264.21,2024-11-04T08:11:23
TX000389,AC00279,99.36,2023-05-09T16:55:54,Debit,Seattle,D000019,93.151.52.152,M004,ATM,40,Doctor,46,1,1272.12,2024-11-04T08:09:15
TX000393,AC00131,222.39,2023-08-23T16:32:59,Debit,Virginia Beach,D000008,180.224.54.115,M088,Online,49,Engineer,73,1,3117.39,2024-11-04T08:10:52
TX000397,AC00039,416.37,2023-10-11T16:14:28,Debit,Columbus,D000686,198.24.183.157,M015,Online,35,Engineer,67,1,7936.91,2024-11-04T08:08:50
TX000402,AC00128,137.35,2023-03-29T18:12:17,Credit,Sacramento,D000051,37.213.85.222,M028,Online,40,Doctor,220,1,12662.66,2024-11-04T08:10:23
TX000403,AC00292,712.75,2023-05-26T17:07:56,Debit,Philadelphia,D000573,57.166.147.242,M074,Branch,44,Doctor,25,1,8126.06,2024-11-04T08:09:52
TX000404,AC00020,353.82,2023-04-10T17:57:59,Debit,Milwaukee,D000043,72.128.135.172,M035,ATM,42,Doctor,143,1,705.75,2024-11-04T08:06:40
TX000408,AC00208,195.12,2023-07-25T17:42:45,Debit,Louisville,D000603,199.103.32.145,M043,ATM,46,Doctor,144,1,6101.15,2024-11-04T08:10:40
TX000420,AC00480,153.4,2023-03-31T17:36:57,Debit,Mesa,D000599,162.58.247.55,M057,ATM,45,Engineer,144,1,4657.7,2024-11-04T08:08:08
TX000422,AC00235,5.12,2023-10-13T16:08:26,Debit,New York,D000660,188.205.152.176,M002,Branch,34,Engineer,90,1,3293.01,2024-11-04T08:10:31
TX000425,AC00267,119.72,2023-02-03T18:15:15,Debit,Tucson,D000445,147.227.81.224,M011,Branch,30,Engineer,123,1,3435.34,2024-11-04T08:10:20
TX000430,AC00357,296.0,2023-05-15T16:25:29,Debit,Las Vegas,D000623,32.71.250.58,M085,Branch,35,Doctor,248,1,7418.82,2024-11-04T08:06:54
TX000431,AC00443,299.09,2023-01-16T16:14:45,Credit,Boston,D000540,113.115.81.178,M034,Branch,36,Engineer,84,1,5615.26,2024-11-04T08:08:01
TX000433,AC00285,100.52,2023-01-30T17:28,Debit,Las Vegas,D000140,113.115.81.178,M038,ATM,50,Engineer,110,1,453.39,2024-11-04T08:11:28
TX000435,AC00217,79.76,2023-02-06T16:26:29,Debit,Raleigh,D000268,157.130.28.27,M055,Branch,39,Engineer,170,1,6452.14,2024-11-04T08:09:34
TX000437,AC00357,386.38,2023-01-24T16:00:14,Debit,Phoenix,D000461,203.197.235.35,M058,Online,42,Engineer,135,1,5528.36,2024-11-04T08:10:06
TX000438,AC00080,165.25,2023-11-24T17:11:27,Debit,Sacramento,D000124,70.130.169.235,M025,Online,35,Doctor,106,1,9939.94,2024-11-04T08:11:35
TX000439,AC00493,14.29,2023-02-28T16:28:25,Debit,Los Angeles,D000317,90.111.245.138,M070,ATM,34,Engineer,150,1,7016.99,2024-11-04T08:08:52
TX000445,AC00280,251.06,2023-12-06T17:27:14,Debit,Colorado Springs,D000593,195.237.152.198,M003,Online,36,Doctor,34,1,10001.66,2024-11-04T08:10:13
TX000447,AC00122,21.4,2023-12-26T16:07:28,Debit,Fresno,D000537,198.166.198.233,M027,Branch,34,Engineer,258,1,9594.11,2024-11-04T08:11:40
TX000449,AC00093,70.23,2023-09-13T16:18:07,Debit,Memphis,D000293,146.47.189.38,M066,ATM,38,Doctor,260,1,11624.93,2024-11-04T08:07:16
TX000456,AC00307,219.63,2023-11-10T16:06:27,Debit,Charlotte,D000220,146.47.189.38,M002,ATM,48,Doctor,44,1,8013.63,2024-11-04T08:07:29
TX000467,AC00063,445.41,2023-11-20T16:27:31,Debit,Fresno,D000039,185.23.87.107,M015,ATM,35,Doctor,235,3,12154.66,2024-11-04T08:08:08
TX000469,AC00218,346.85,2023-11-03T18:33:50,Debit,Kansas City,D000128,13.149.61.4,M025,ATM,44,Doctor,88,1,7208.15,2024-11-04T08:10:25
TX000487,AC00148,1416.69,2023-01-16T17:00:11,Debit,Nashville,D000418,219.98.242.240,M015,ATM,46,Engineer,58,1,3740.73,2024-11-04T08:11:35
TX000491,AC00166,0.99,2023-09-13T16:55:14,Debit,Los Angeles,D000503,187.199.178.27,M029,ATM,45,Engineer,133,1,4317.85,2024-11-04T08:09:12
TX000492,AC00318,505.19,2023-03-14T16:25:04,Debit,Kansas City,D000660,60.89.202.192,M023,ATM,30,Doctor,128,5,5326.68,2024-11-04T08:10:19
TX000497,AC00114,286.5,2023-10-23T16:58:04,Credit,Boston,D000602,16.128.130.153,M097,Branch,30,Engineer,60,1,8517.95,2024-11-04T08:09:17
TX000500,AC00325,157.97,2023-06-21T16:00:51,Debit,Philadelphia,D000635,89.237.88.251,M009,Branch,48,Doctor,140,1,5529.92,2024-11-04T08:10:06
TX000501,AC00433,120.9,2023-07-12T16:17:27,Debit,Tucson,D000195,200.136.146.93,M074,Branch,40,Doctor,52,1,9009.42,2024-11-04T08:08:19
TX000504,AC00080,149.25,2023-04-10T16:38:45,Debit,Omaha,D000604,3.77.114.6,M067,ATM,39,Engineer,142,1,5677.52,2024-11-04T08:07:41
TX000505,AC00052,3.42,2023-09-25T16:14:35,Credit,San Antonio,D000484,151.247.130.190,M092,Online,43,Doctor,158,1,14180.21,2024-11-04T08:08:48
TX000506,AC00095,68.19,2023-03-14T16:07:32,Credit,Fresno,D000589,134.140.85.231,M026,Online,40,Doctor,189,1,9895.1,2024-11-04T08:07:50
TX000507,AC00327,493.42,2023-06-14T17:21:32,Debit,Baltimore,D000474,28.149.72.129,M039,Branch,39,Engineer,111,1,2232.84,2024-11-04T08:10:01
TX000513,AC00012,8.65,2023-06-05T17:08:37,Debit,Las Vegas,D000309,200.136.146.93,M037,Online,48,Doctor,273,1,10778.35,2024-11-04T08:09:03
TX000514,AC00469,65.57,2023-04-06T17:24:16,Debit,Miami,D000649,1.198.76.182,M039,Online,41,Engineer,82,1,7513.79,2024-11-04T08:06:26
TX000515,AC00127,539.81,2023-02-21T16:14:16,Debit,San Francisco,D000632,51.196.87.214,M064,Online,46,Engineer,177,1,2051.25,2024-11-04T08:09:05
TX000519,AC00067,167.2,2023-01-18T17:53:37,Debit,San Antonio,D000002,56.67.227.142,M036,Branch,30,Doctor,84,1,11320.83,2024-11-04T08:06:52
TX000523,AC00360,463.92,2023-03-13T16:41:12,Debit,Mesa,D000533,199.103.32.145,M010,Online,50,Engineer,199,1,2403.39,2024-11-04T08:09:14
TX000527,AC00173,345.81,2023-06-26T16:10:57,Debit,Raleigh,D000417,191.82.103.198,M099,Branch,40,Engineer,135,1,6116.8,2024-11-04T08:12:14
TX000536,AC00161,1182.86,2023-12-11T16:06:51,Debit,Tucson,D000673,96.24.89.146,M050,Online,30,Engineer,34,1,7696.16,2024-11-04T08:08:58
TX000539,AC00183,59.44,2023-06-13T17:52:56,Debit,Chicago,D000479,64.15.0.66,M002,Online,35,Engineer,176,1,5472.03,2024-11-04T08:06:34
TX000540,AC00407,186.69,2023-12-29T16:38:21,Debit,New York,D000546,162.151.179.167,M015,Branch,30,Engineer,54,1,8602.22,2024-11-04T08:08:12
TX000542,AC00314,65.09,2023-02-28T17:58:02,Credit,Seattle,D000434,144.91.150.133,M066,Online,44,Engineer,159,1,9370.9,2024-11-04T08:09:41
TX000544,AC00316,552.02,2023-11-30T16:51:46,Credit,Chicago,D000061,156.173.170.140,M048,ATM,44,Engineer,100,1,522.08,2024-11-04T08:09:25
TX000545,AC00145,377.12,2023-08-14T17:12:27,Debit,Houston,D000321,112.56.160.202,M049,ATM,34,Engineer,61,1,836.67,2024-11-04T08:11:40
TX000547,AC00005,420.28,2023-05-17T17:28:25,Debit,Washington,D000677,110.150.1.201,M002,Branch,35,Doctor,144,1,8557.32,2024-11-04T08:09:01
TX000550,AC00257,73.88,2023-01-02T16:27:18,Debit,Charlotte,D000611,142.148.226.178,M015,Online,39,Doctor,34,1,6474.41,2024-11-04T08:09:09
TX000555,AC00322,43.73,2023-04-03T16:43:29,Debit,Omaha,D000631,194.88.79.54,M011,ATM,34,Doctor,145,1,9929.43,2024-11-04T08:10:33
TX000557,AC00083,2.03,2024-01-01T16:07:05,Credit,Detroit,D000271,112.86.148.212,M012,ATM,33,Engineer,28,1,3012.31,2024-11-04T08:08:50
TX000558,AC00402,770.65,2023-07-05T17:49:26,Debit,Jacksonville,D000119,161.161.26.115,M016,Online,31,Doctor,137,1,7198.8,2024-11-04T08:09:01
TX000563,AC00216,106.39,2023-02-13T18:42:09,Debit,Virginia Beach,D000485,211.42.9.0,M003,Online,37,Doctor,281,1,9410.99,2024-11-04T08:10:32
TX000564,AC00223,12.04,2023-11-15T16:08:52,Debit,Fort Worth,D000535,31.127.129.152,M053,Online,37,Engineer,58,1,6213.32,2024-11-04T08:08:25
TX000571,AC00424,262.22,2023-07-13T17:48:24,Credit,Baltimore,D000006,177.116.108.246,M080,ATM,40,Engineer,136,1,5711.71,2024-11-04T08:12:12
