Transaction ID,AccountId,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IpAddress,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
TX000193,AC00265,444.89,Credit,2023-09-11T16:27:39,Las Vegas,D000173,42.61.10.112,M060,Branch,43,Doctor,101,1,10328.23,2024-11-04T08:11:50
TX000195,AC00005,488.54,Debit,2023-07-03T17:47:49,Jacksonville,D000466,198.24.183.157,M036,Branch,52,Engineer,132,1,7486.63,2024-11-04T08:07:26
TX000196,AC00363,3.3,Credit,2023-03-27T16:42:16,Los Angeles,D000215,116.44.12.250,M085,Branch,50,Doctor,131,1,11385.37,2024-11-04T08:10:11
TX000200,AC00358,493.11,Debit,2023-07-31T16:25:26,Colorado Springs,D000232,35.220.238.127,M022,Branch,53,Retired,236,1,7432.99,2024-11-04T08:08:01
TX000202,AC00010,11.18,Debit,2023-11-30T16:52:42,Atlanta,D000129,16.51.235.240,M017,Online,43,Doctor,161,1,5956.89,2024-11-04T08:10:20
TX000207,AC00181,800.55,Debit,2023-05-04T16:21:31,Oklahoma City,D000657,8.244.162.185,M062,ATM,31,Engineer,108,1,9660.22,2024-11-04T08:06:49
TX000208,AC00370,485.54,Debit,2023-02-06T17:46:59,Houston,D000589,140.212.253.222,M061,ATM,46,Engineer,143,1,6371.51,2024-11-04T08:11:46
TX000209,AC00453,521.15,Debit,2023-02-17T18:16:05,Kansas City,D000108,166.7.230.111,M084,ATM,54,Doctor,214,1,9442.47,2024-11-04T08:07:31
TX000212,AC00479,432.08,Debit,2023-07-31T16:04:55,El Paso,D000073,40.192.99.27,M044,ATM,40,Doctor,145,1,11500.62,2024-11-04T08:11:46
TX000214,AC00380,116.86,Debit,2023-03-20T18:28:48,Louisville,D000531,184.146.10.88,M088,ATM,55,Engineer,171,1,6706.56,2024-11-04T08:12:15
TX000218,AC00108,134.7,Debit,2023-08-21T16:03:18,Fort Worth,D000637,155.19.119.0,M074,ATM,50,Doctor,106,1,8395.85,2024-11-04T08:11:07
TX000219,AC00070,890.24,Credit,2023-07-07T18:03:43,Las Vegas,D000223,28.149.72.129,M029,Online,33,Engineer,161,1,5140.93,2024-11-04T08:07:32
TX000221,AC00391,131.56,Debit,2023-10-19T16:42:37,Charlotte,D000203,27.215.118.94,M014,Branch,44,Doctor,42,1,5873.54,2024-11-04T08:07:12
TX000227,AC00212,163.68,Debit,2023-09-28T16:20:57,San Diego,D000440,35.67.21.23,M087,Branch,41,Doctor,292,1,10090.05,2024-11-04T08:11:01
TX000229,AC00055,52.01,Debit,2023-11-07T16:46:04,Mesa,D000652,178.34.103.183,M019,ATM,48,Doctor,85,1,1120.88,2024-11-04T08:11:27
TX000231,AC00401,523.74,Debit,2023-11-02T16:36:37,Oklahoma City,D000551,216.151.64.40,M099,ATM,43,Doctor,159,1,13498.55,2024-11-04T08:06:52
TX000232,AC00430,705.6,Debit,2023-02-20T18:41:43,Phoenix,D000103,205.45.234.42,M071,Branch,40,Doctor,124,3,14804.7,2024-11-04T08:09:04
TX000233,AC00299,217.5,Credit,2023-10-23T18:54:48,Denver,D000485,101.90.40.193,M043,Branch,46,Engineer,35,1,3057.4,2024-11-04T08:06:58
TX000234,AC00345,91.48,Debit,2023-01-23T16:50:31,Fort Worth,D000295,160.74.183.38,M081,ATM,51,Doctor,141,1,14942.78,2024-11-04T08:09:17
TX000235,AC00430,5.25,Debit,2023-11-13T18:26:24,San Jose,D000571,93.170.203.44,M010,ATM,39,Doctor,49,1,14143.32,2024-11-04T08:12:22
TX000237,AC00177,736.73,Debit,2023-11-27T16:05:27,Memphis,D000167,107.247.202.71,M037,Branch,48,Engineer,10,1,3313.07,2024-11-04T08:10:54
TX000238,AC00225,368.91,Debit,2023-03-10T17:49:57,Virginia Beach,D000221,218.238.171.184,M082,Branch,54,Doctor,14,1,829.71,2024-11-04T08:10:28
TX000239,AC00394,33.06,Credit,2023-01-17T16:03:41,Fort Worth,D000417,63.67.150.226,M045,Online,53,Retired,170,1,1540.87,2024-11-04T08:06:43
TX000240,AC00026,66.5,Credit,2023-05-04T16:44:56,Louisville,D000419,13.88.251.53,M098,Online,32,Engineer,144,1,6820.23,2024-11-04T08:08:06
TX000241,AC00076,177.08,Debit,2023-01-06T17:16:44,Las Vegas,D000450,176.96.83.253,M014,Online,35,Doctor,85,1,13475.14,2024-11-04T08:12:21
TX000242,AC00215,588.54,Debit,2023-02-06T17:57:28,Portland,D000609,211.97.88.141,M031,Branch,32,Engineer,130,1,714.45,2024-11-04T08:10:37
TX000249,AC00253,842.01,Credit,2023-09-12T16:43:27,Virginia Beach,D000209,62.152.134.92,M015,Online,53,Doctor,185,1,509.45,2024-11-04T08:08:33
TX000250,AC00126,73.55,Debit,2023-01-09T16:09:48,Atlanta,D000210,196.121.240.10,M086,ATM,51,Engineer,158,1,2812.06,2024-11-04T08:11:21
TX000256,AC00258,237.99,Credit,2023-05-08T16:45:11,Kansas City,D000563,168.55.35.243,M043,Branch,39,Doctor,86,1,8510.09,2024-11-04T08:11:36
TX000260,AC00307,312.88,Credit,2023-05-26T18:12:50,Portland,D000503,201.114.165.141,M040,Branch,54,Engineer,44,1,233.21,2024-11-04T08:07:23
TX000265,AC00366,488.15,Debit,2023-07-31T16:01,Louisville,D000257,81.102.230.41,M098,Branch,43,Engineer,168,1,7071.09,2024-11-04T08:11:13
TX000266,AC00338,12.82,Debit,2023-04-05T18:37:10,Fort Worth,D000482,152.234.65.155,M055,ATM,44,Engineer,156,1,9045.19,2024-11-04T08:08:25
TX000268,AC00424,535.91,Debit,2023-07-07T16:38:12,Las Vegas,D000583,104.80.232.55,M097,Online,43,Engineer,22,1,9642.12,2024-11-04T08:10:49
TX000272,AC00263,251.18,Debit,2023-06-01T16:51:11,San Jose,D000056,134.222.122.238,M058,ATM,42,Engineer,246,1,8303.9,2024-11-04T08:07:55
TX000274,AC00455,178.87,Debit,2023-05-23T16:03:54,Baltimore,D000663,134.247.5.188,M001,Online,35,Doctor,180,1,5241.23,2024-11-04T08:10:16
TX000275,AC00454,1176.28,Credit,2023-12-20T16:08:02,Kansas City,D000476,50.202.8.53,M074,ATM,54,Engineer,174,5,323.69,2024-11-04T08:11:44
TX000276,AC00055,386.68,Debit,2023-10-31T16:48:01,New York,D000453,207.157.126.125,M019,Branch,46,Doctor,128,1,6863.06,2024-11-04T08:06:28
TX000281,AC00133,255.04,Debit,2023-11-23T16:15:59,Seattle,D000206,98.39.212.221,M084,ATM,45,Engineer,152,1,6217.86,2024-11-04T08:11:38
TX000285,AC00451,11.92,Debit,2023-10-09T17:48:55,San Diego,D000678,192.95.36.246,M063,Branch,53,Doctor,52,1,14611.9,2024-11-04T08:11:22
TX000288,AC00159,151.19,Credit,2023-05-05T16:04:36,New York,D000658,217.233.219.196,M061,Branch,37,Doctor,96,1,11903.82,2024-11-04T08:11:16
TX000293,AC00189,443.79,Debit,2023-10-09T18:28:04,Las Vegas,D000407,198.39.35.23,M099,ATM,53,Retired,87,1,3133.85,2024-11-04T08:11:16
TX000296,AC00272,20.54,Debit,2023-08-21T18:09:24,Fort Worth,D000348,171.101.134.74,M055,Branch,51,Engineer,72,1,5327.03,2024-11-04T08:07:28
TX000297,AC00381,475.36,Debit,2023-10-02T16:03:09,Phoenix,D000540,132.127.5.187,M018,ATM,34,Engineer,105,1,2000.6,2024-11-04T08:06:59
TX000301,AC00119,211.36,Credit,2023-11-21T16:23:41,Fort Worth,D000700,63.67.150.226,M041,Branch,51,Engineer,286,1,7943.47,2024-11-04T08:11:10
TX000302,AC00488,744.41,Credit,2023-07-31T16:35:59,Houston,D000115,24.181.236.233,M095,Online,39,Engineer,107,1,8842.47,2024-11-04T08:11:27
TX000304,AC00489,167.44,Debit,2023-09-25T16:11:18,Mesa,D000483,166.7.230.111,M087,Branch,37,Doctor,82,1,12526.71,2024-11-04T08:10:49
TX000307,AC00233,241.11,Debit,2023-06-16T16:41:23,Columbus,D000443,195.164.171.146,M063,Branch,30,Doctor,55,1,12385.05,2024-11-04T08:10:49
TX000308,AC00389,131.93,Credit,2023-09-11T17:31:10,Fort Worth,D000245,216.32.4.105,M049,Branch,31,Engineer,13,1,4547.06,2024-11-04T08:06:50
TX000309,AC00067,20.28,Debit,2023-07-19T17:42:38,Oklahoma City,D000585,150.83.4.238,M047,Online,36,Engineer,213,1,2047.83,2024-11-04T08:10:02
TX000313,AC00219,100.66,Debit,2023-06-16T18:58:50,Dallas,D000511,86.220.59.252,M024,Branch,50,Doctor,144,1,14473.33,2024-11-04T08:11:54
TX000315,AC00371,321.15,Debit,2023-02-10T17:06:40,Los Angeles,D000151,200.164.13.160,M037,Branch,46,Doctor,179,1,7005.05,2024-11-04T08:06:33
TX000317,AC00200,12.23,Debit,2023-10-12T16:02:13,Houston,D000177,23.92.205.75,M065,ATM,42,Engineer,139,1,7844.88,2024-11-04T08:07:29
TX000319,AC00106,301.85,Debit,2023-04-18T17:43:50,Columbus,D000433,55.154.161.250,M062,Online,54,Engineer,25,1,6586.19,2024-11-04T08:10:05
TX000323,AC00194,36.71,Debit,2023-01-30T17:11:53,Jacksonville,D000671,166.7.230.111,M095,Branch,48,Doctor,55,1,6459.38,2024-11-04T08:11:44
TX000324,AC00248,138.12,Credit,2023-04-11T17:18:50,Los Angeles,D000182,45.182.28.148,M067,Branch,53,Doctor,281,1,1649.69,2024-11-04T08:11:23
TX000325,AC00286,233.24,Debit,2023-04-17T16:56:06,Louisville,D000351,45.241.13.208,M070,ATM,33,Engineer,72,1,6939.23,2024-11-04T08:07:39
TX000326,AC00049,609.14,Debit,2023-11-23T16:09:39,Tucson,D000224,201.113.165.203,M086,ATM,39,Engineer,177,1,9033.87,2024-11-04T08:11:33
TX000327,AC00471,436.64,Debit,2023-12-25T17:46:24,Los Angeles,D000683,38.210.156.148,M033,Branch,31,Doctor,111,1,14365.18,2024-11-04T08:08:23
TX000330,AC00316,22.63,Debit,2023-02-20T17:28:15,Kansas City,D000488,165.114.224.47,M052,Online,53,Engineer,112,1,4438.03,2024-11-04T08:10:56
TX000333,AC00418,288.17,Debit,2023-09-08T16:48:51,Virginia Beach,D000399,143.212.47.226,M012,Online,37,Engineer,50,1,3653.11,2024-11-04T08:10:16
TX000334,AC00187,118.77,Debit,2023-10-02T17:44:05,Atlanta,D000310,104.80.232.55,M066,Branch,55,Engineer,123,1,2104.82,2024-11-04T08:10:29
TX000336,AC00141,66.65,Debit,2023-10-17T16:58:59,Detroit,D000398,120.170.93.69,M100,ATM,37,Engineer,33,1,3559.96,2024-11-04T08:11
TX000341,AC00107,1830.0,Debit,2023-03-01T16:31:58,San Antonio,D000436,62.27.235.199,M082,Online,55,Engineer,238,1,2235.7,2024-11-04T08:11:59
TX000344,AC00232,703.89,Debit,2023-09-22T16:42:15,San Antonio,D000473,48.19.99.211,M074,Online,46,Engineer,62,1,3583.67,2024-11-04T08:06:44
TX000345,AC00156,1271.9,Debit,2023-08-28T16:43:15,Houston,D000312,210.136.14.108,M073,ATM,47,Engineer,155,1,2120.8,2024-11-04T08:09:27
TX000347,AC00375,147.4,Debit,2023-06-09T16:10:51,San Jose,D000283,92.214.76.157,M067,Branch,42,Engineer,259,1,6797.71,2024-11-04T08:07:18
TX000350,AC00029,11.18,Debit,2023-02-27T16:39:28,Miami,D000609,176.96.83.253,M035,ATM,53,Engineer,144,1,7467.3,2024-11-04T08:10:57
TX000351,AC00040,294.15,Debit,2023-02-02T16:19:31,Fresno,D000504,112.86.148.212,M020,Online,38,Engineer,136,1,6362.16,2024-11-04T08:07:20
TX000352,AC00482,29.58,Debit,2023-10-30T17:54:19,Colorado Springs,D000230,173.252.44.183,M066,Branch,54,Engineer,121,1,8345.26,2024-11-04T08:11:01
TX000355,AC00349,131.43,Debit,2023-02-01T18:47:20,Charlotte,D000391,77.7.223.184,M053,Online,43,Doctor,65,1,1337.5,2024-11-04T08:12:12
TX000356,AC00374,516.72,Debit,2023-10-09T18:43:04,Mesa,D000489,197.187.216.106,M025,ATM,42,Engineer,128,1,2015.69,2024-11-04T08:11:35
TX000363,AC00063,873.65,Credit,2023-03-23T16:38:40,Oklahoma City,D000414,214.247.164.80,M050,Online,37,Doctor,59,1,12139.83,2024-11-04T08:09:57
TX000365,AC00272,110.17,Debit,2023-09-07T16:08:12,Raleigh,D000046,156.235.3.171,M054,ATM,30,Engineer,137,1,464.2,2024-11-04T08:12:11
TX000371,AC00177,218.59,Credit,2023-11-27T16:43:28,Denver,D000004,72.192.101.196,M088,Branch,40,Engineer,123,1,6699.23,2024-11-04T08:07:12
TX000373,AC00069,157.37,Credit,2023-11-15T16:54:44,Dallas,D000001,66.23.166.248,M014,Branch,42,Doctor,289,1,13964.31,2024-11-04T08:10:30
TX000376,AC00316,1392.54,Debit,2023-11-20T16:51:14,El Paso,D000113,63.67.150.226,M013,Branch,41,Doctor,297,1,13347.69,2024-11-04T08:09:15
TX000377,AC00131,208.07,Debit,2023-07-10T16:51:12,Oklahoma City,D000084,157.164.245.130,M100,Online,32,Doctor,36,1,8478.9,2024-11-04T08:11:43
TX000380,AC00488,30.23,Debit,2023-11-06T17:53:25,Austin,D000406,134.247.5.188,M049,ATM,44,Doctor,99,1,481.13,2024-11-04T08:12:06
TX000383,AC00188,13.71,Credit,2023-05-30T17:54:22,Denver,D000483,189.20.224.220,M084,Online,38,Engineer,148,1,8342.79,2024-11-04T08:11:17
TX000387,AC00322,74.42,Debit,2023-11-23T17:23:16,El Paso,D000273,76.136.92.235,M003,Online,49,Engineer,68,1,6264.21,2024-11-04T08:11:23
TX000388,AC00135,39.66,Debit,2023-05-18T16:16:53,Virginia Beach,D000680,200.136.146.93,M045,Branch,52,Engineer,169,1,8497.34,2024-11-04T08:07:20
TX000389,AC00279,99.36,Debit,2023-05-09T16:55:54,Seattle,D000019,93.151.52.152,M004,ATM,40,Doctor,46,1,1272.12,2024-11-04T08:09:15
TX000393,AC00131,222.39,Debit,2023-08-23T16:32:59,Virginia Beach,D000008,180.224.54.115,M088,Online,49,Engineer,73,1,3117.39,2024-11-04T08:10:52
TX000397,AC00039,416.37,Debit,2023-10-11T16:14:28,Columbus,D000686,198.24.183.157,M015,Online,35,Engineer,67,1,7936.91,2024-11-04T08:08:50
TX000402,AC00128,137.35,Credit,2023-03-29T18:12:17,Sacramento,D000051,37.213.85.222,M028,Online,40,Doctor,220,1,12662.66,2024-11-04T08:10:23
TX000403,AC00292,712.75,Debit,2023-05-26T17:07:56,Philadelphia,D000573,57.166.147.242,M074,Branch,44,Doctor,25,1,8126.06,2024-11-04T08:09:52
TX000404,AC00020,353.82,Debit,2023-04-10T17:57:59,Milwaukee,D000043,72.128.135.172,M035,ATM,42,Doctor,143,1,705.75,2024-11-04T08:06:40
TX000407,AC00401,364.42,Debit,2023-10-10T17:07:27,Colorado Springs,D000469,120.32.147.210,M078,ATM,51,Engineer,146,1,8119.73,2024-11-04T08:09:16
TX000408,AC00208,195.12,Debit,2023-07-25T17:42:45,Louisville,D000603,199.103.32.145,M043,ATM,46,Doctor,144,1,6101.15,2024-11-04T08:10:40
TX000420,AC00480,153.4,Debit,2023-03-31T17:36:57,Mesa,D000599,162.58.247.55,M057,ATM,45,Engineer,144,1,4657.7,2024-11-04T08:08:08
TX000421,AC00318,946.94,Debit,2023-12-11T17:19:07,Charlotte,D000019,30.92.249.132,M018,Branch,53,Retired,251,1,5579.11,2024-11-04T08:07:11
TX000422,AC00235,5.12,Debit,2023-10-13T16:08:26,New York,D000660,188.205.152.176,M002,Branch,34,Engineer,90,1,3293.01,2024-11-04T08:10:31
TX000425,AC00267,119.72,Debit,2023-02-03T18:15:15,Tucson,D000445,147.227.81.224,M011,Branch,30,Engineer,123,1,3435.34,2024-11-04T08:10:20
TX000427,AC00229,115.92,Debit,2023-01-17T18:42:28,Raleigh,D000386,204.34.243.93,M033,ATM,53,Retired,57,1,3897.17,2024-11-04T08:09:02
TX000430,AC00357,296.0,Debit,2023-05-15T16:25:29,Las Vegas,D000623,32.71.250.58,M085,Branch,35,Doctor,248,1,7418.82,2024-11-04T08:06:54
